ProfessionalDetails,Tier
Environmental health practitioner,Freelancer
Astronomer,Manager
Print production planner,Professional
Magazine features editor,Lead
Astronomer,Freelancer
Dietitian,Lead
Hospital pharmacist,Lead
"Investment banker, corporate",CXO
Statistician,Professional
Archaeologist,CXO
Charity officer,Professional
"Civil engineer, consulting",Professional
"Administrator, local government",Professional
Tree surgeon,Professional
Print production planner,Manager
Event organiser,Professional
Photographer,Professional
Legal executive,Professional
Surgeon,Professional
Gaffer,Lead
Haematologist,Lead
Seismic interpreter,Professional
Marine scientist,Professional
"Engineer, maintenance (IT)",Lead
Chief Strategy Officer,Freelancer
Mental health nurse,Freelancer
Nature conservation officer,CXO
Geoscientist,Freelancer
Charity officer,Manager
Risk manager,Professional
Arboriculturist,Professional
"Engineer, mining",Freelancer
Architect,Professional
Chief Financial Officer,Professional
"Engineer, energy",Freelancer
"Radiographer, therapeutic",Professional
Magazine journalist,Professional
Naval architect,Professional
Electronics engineer,Freelancer
"Engineer, electrical",Professional
Further education lecturer,Professional
Chief Marketing Officer,Lead
Consulting civil engineer,Professional
Equality and diversity officer,Manager
Systems developer,Manager
"Engineer, agricultural",Lead
Marketing executive,Lead
Charity fundraiser,Professional
Market researcher,Manager
Town planner,Professional
Claims inspector/assessor,Lead
Applications developer,Professional
Hotel manager,Freelancer
Recycling officer,Professional
Claims inspector/assessor,Professional
Prison officer,Professional
Illustrator,Manager
"Programmer, applications",Lead
Insurance underwriter,Freelancer
Interpreter,Freelancer
"Development worker, community",Professional
"Surveyor, quantity",Freelancer
"Administrator, arts",Lead
Surgeon,Lead
Local government officer,Professional
Fisheries officer,Lead
Museum/gallery conservator,Professional
Fitness centre manager,Professional
Contractor,Lead
Surgeon,Professional
"Scientist, research (life sciences)",CXO
Site engineer,Lead
Advertising account planner,Manager
Tour manager,Freelancer
"Sound technician, broadcasting/film/video",Professional
"Surveyor, rural practice",Lead
"Surveyor, minerals",Professional
Systems developer,Freelancer
Teaching laboratory technician,Manager
Agricultural engineer,Professional
"Buyer, retail",Professional
Financial risk analyst,Freelancer
Field seismologist,Lead
"Production assistant, television",Freelancer
Health and safety inspector,CXO
Hydrogeologist,Professional
Trading standards officer,Professional
Research scientist (medical),Freelancer
Pensions consultant,Professional
Logistics and distribution manager,Professional
"Designer, blown glass/stained glass",Professional
Police officer,Lead
Adult nurse,Professional
Sports development officer,Lead
Automotive engineer,Freelancer
Soil scientist,Professional
"Designer, interior/spatial",Manager
Osteopath,Professional
"Designer, textile",Professional
Multimedia programmer,Professional
Office manager,Professional
Commercial/residential surveyor,Lead
"Engineer, biomedical",Professional
Maintenance engineer,Lead
Community development worker,Professional
Information systems manager,Freelancer
"Therapist, sports",Lead
Chief Strategy Officer,Lead
"Therapist, speech and language",Lead
"Psychotherapist, child",Professional
"Pilot, airline",Professional
Mental health nurse,Freelancer
Insurance underwriter,Professional
"Designer, ceramics/pottery",Professional
Illustrator,Professional
Optometrist,Professional
Building control surveyor,Freelancer
Learning disability nurse,Lead
Visual merchandiser,Professional
Forensic psychologist,Freelancer
"Doctor, hospital",Manager
Cabin crew,Professional
Insurance claims handler,Lead
Data scientist,Professional
"Production designer, theatre/television/film",Manager
"Engineer, chemical",Professional
"Administrator, education",Lead
Interior and spatial designer,Professional
Exhibition designer,Professional
Arts development officer,Professional
Health and safety adviser,Freelancer
Civil Service fast streamer,Lead
Technical sales engineer,Professional
Theatre manager,Lead
Community pharmacist,Professional
Geochemist,CXO
"Administrator, education",Professional
"Lighting technician, broadcasting/film/video",Manager
"Producer, television/film/video",Lead
Hotel manager,Professional
Chemical engineer,Freelancer
Teaching laboratory technician,Professional
Lobbyist,Lead
Paramedic,Lead
Textile designer,CXO
Financial controller,Freelancer
Operational investment banker,Lead
Trade union research officer,Freelancer
Secondary school teacher,Freelancer
Restaurant manager,Freelancer
"Pharmacist, hospital",Freelancer
"Scientist, research (maths)",Professional
"Scientist, product/process development",Lead
"Administrator, education",Lead
Toxicologist,Professional
Advertising copywriter,Freelancer
Art therapist,Professional
Print production planner,Professional
Housing manager/officer,Manager
Estate agent,Manager
Structural engineer,Lead
"Geologist, engineering",Manager
Tour manager,Professional
"Production designer, theatre/television/film",Professional
Prison officer,Lead
Land,Lead
Personnel officer,Professional
Recycling officer,Professional
Stage manager,Manager
Analytical chemist,Lead
Sales executive,Professional
"Designer, jewellery",Professional
Television floor manager,Lead
Chartered legal executive (England and Wales),Professional
Geophysicist/field seismologist,Freelancer
Medical technical officer,Freelancer
Consulting civil engineer,Professional
Television production assistant,Freelancer
Legal executive,Professional
Company secretary,Lead
"Research officer, trade union",Freelancer
Research scientist (maths),Professional
"Development worker, international aid",Professional
Interior and spatial designer,Manager
"Conservation officer, nature",Professional
Social researcher,Manager
"Runner, broadcasting/film/video",Lead
Building services engineer,Freelancer
Electrical engineer,Professional
Intelligence analyst,Professional
Call centre manager,Freelancer
"Accountant, chartered",Freelancer
Water quality scientist,Professional
Tree surgeon,Professional
Health physicist,Professional
Geophysical data processor,Professional
Community arts worker,CXO
Architectural technologist,Freelancer
"Teacher, music",Freelancer
Writer,Professional
"Programme researcher, broadcasting/film/video",Professional
Horticultural consultant,Lead
"Engineer, civil (consulting)",Professional
Health service manager,Lead
Systems developer,Professional
Printmaker,Professional
Sports administrator,Professional
Operational investment banker,Manager
"Therapist, speech and language",CXO
Chartered loss adjuster,Professional
Clothing/textile technologist,Professional
Ranger/warden,Freelancer
"Editor, film/video",Lead
"Engineer, materials",Lead
Training and development officer,Professional
Retail merchandiser,Professional
Horticultural therapist,Professional
Amenity horticulturist,Lead
Risk analyst,Professional
Ambulance person,Professional
Clinical molecular geneticist,Professional
Advertising art director,Professional
Cabin crew,Manager
Therapeutic radiographer,Professional
"Engineer, agricultural",Professional
Film/video editor,Manager
Geochemist,Professional
"Administrator, arts",Professional
"Accountant, chartered",Professional
Oceanographer,Professional
Naval architect,Manager
Broadcast presenter,Professional
Immunologist,Freelancer
Microbiologist,Lead
Museum/gallery curator,Manager
Clinical psychologist,Freelancer
Production manager,Lead
Make,Professional
Food technologist,Freelancer
Animal nutritionist,Lead
Secondary school teacher,Freelancer
Administrator,Lead
Associate Professor,Lead
"Scientist, biomedical",Lead
Warehouse manager,Professional
"Designer, furniture",Professional
Camera operator,Freelancer
Barrister,Lead
Chief Operating Officer,Freelancer
Location manager,Professional
Planning and development surveyor,Freelancer
Public relations account executive,Professional
Financial controller,Professional
"Geologist, wellsite",Freelancer
"Engineer, petroleum",Manager
Geographical information systems officer,Professional
Maintenance engineer,Lead
Data processing manager,Professional
"Therapist, drama",Professional
Youth worker,Freelancer
"Conservator, furniture",Professional
Information systems manager,Freelancer
Advertising account executive,Professional
Analytical chemist,Freelancer
"Accountant, chartered management",Lead
Graphic designer,Professional
Sports coach,Professional
"Engineer, production",Lead
Air cabin crew,Freelancer
"Production assistant, radio",Professional
Financial manager,Professional
Jewellery designer,Professional
"Psychologist, occupational",Professional
"Education officer, museum",Professional
Probation officer,Professional
Animator,Professional
Technical brewer,Professional
Travel agency manager,CXO
Chartered management accountant,CXO
"Surveyor, land/geomatics",Professional
"Engineer, communications",Professional
